ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN;N° COMMANDE
53;Casse vide atmosphérique cuite de 1er jet n°5;Cuites de 1er jet;53;2;53;NULL;2;EV 19 22 010.1;2012;2013;12;PAPILLON;TOR;2025;1256AR
54;Casse vide atmosphérique cuite de 1er jet n°6;Cuites de 1er jet;54;2;54;NULL;2;EV 19 22 012.1;2012;2013;100;PAPILLON;TOR;2113;1256AR
55;Casse vide atmosphérique cuite de 2ème jet n°3;Cuites de 2ème jet;55;2;55;NULL;2;NULL;2014;2014;100;PAPILLON;REG;2114;1422AR
56;Casse vide atmosphèrique cuite n° 6;Cuites de 1er jet;56;2;56;56;2;NULL;NULL;2010;100;PAPILLON ;TOR;2110;NULL
57;Casse vide atmospherique cuites de 2ème jet n° 1;Cuites de 2ème jet;57;2;57;NULL;2;EV 19 22 026.1;2021;2021;10;NULL;TOR;2031;NULL
58;Casse vide atmospherique cuites de 2ème jet n° 2;Cuites de 2ème jet;58;2;58;NULL;2;EV 19 22 028.1;2021;2021;10;inox;TOR;2031;NULL
59;Casse vide vapeur cuite de 1er jet n°3;Cuites de 1er jet;59;2;59;59;10;PV 02 22 0574;2013;2018;100;PAPILLON;REG;2118;1262AR
60;Casse vide vapeur cuite de 1er jet n°4;Cuites de 1er jet;60;2;60;60;10;PV 02 22 0578;2013;2018;100;PAPILLON;REG;2118;1262AR
61;Casse vide vapeur cuite de 1er jet n°5;Cuites de 1er jet;61;2;61;61;10;PV 02 22 0580;2013;2018;100;PAPILLON;REG;2118;1262AR
62;Casse vide vapeur cuite de 2ème jet n°1;cuites de 2ème jet;62;2;62;62;10;PV 02 22 0630;2016;2017;100;PAPILLON;REG;2117;1652AR
63;Casse vide vapeur cuite de 1er jet n°6;cuites de 1er jet;63;2;63;NULL;10;EV 02 03 0219;2003;2014;20;PAPILLON;TOR;2034;030031 AR
64;Casse vide vapeur cuite de 2ème jet n°2;cuites de 2ème jet;64;2;64;64;10;PV 02 22 0638;2016;2017;100;PAPILLON;REG;2117;1652AR
